Username,Gender,Age,Activity,Duration,Calories,Steps,Mood,Date
michael1@outlook.com,Male,39,cycling,34.0,233.02,0,Tired,2024-02-03
daniel1@yahoo.com,Male,64,yoga,83.0,156.1,0,Happy,2024-09-10
ava1@gmail.com,Female,63,walking,20.0,612.07,12665,Tired,2024-02-28
olivia1@hotmail.com,Female,41,cycling,41.0,619.65,0,Happy,2024-10-21
sophia1@hotmail.com,Female,31,swimming,78.0,386.29,0,Energetic,2024-03-09
ava2@hotmail.com,Female,55,yoga,61.0,236.42,0,Sad,2024-08-03
david1@yahoo.com,Male,59,cycling,29.0,299.48,0,Energetic,2024-01-24
michael2@outlook.com,Male,58,cycling,96.0,481.51,0,Neutral,2024-06-25
john1@yahoo.com,Male,49,walking,29.0,839.73,14396,Tired,2024-04-02
emma1@outlook.com,Female,52,running,31.0,610.79,9007,Neutral,2024-05-17
david2@icloud.com,Male,63,cycling,66.0,895.88,0,Tired,2024-08-17
john2@yahoo.com,Male,55,running,15.0,110.34,10339,Happy,2024-04-03
sophia2@icloud.com,Female,60,yoga,42.0,508.35,0,Sad,2024-10-16
emily1@yahoo.com,Female,60,yoga,60.0,410.04,0,Happy,2024-11-21
olivia2@icloud.com,Female,33,running,39.0,505.84,2296,Energetic,2024-03-09
david3@icloud.com,Male,21,swimming,84.0,760.62,0,Neutral,2024-03-14
john3@yahoo.com,Male,42,walking,64.0,275.42,12846,Energetic,2024-05-14
emma2@gmail.com,Female,30,cycling,42.0,873.4,0,Sad,2024-01-24
david4@hotmail.com,Male,21,gym,25.0,773.64,0,Sad,2024-02-22
ava3@icloud.com,Female,55,gym,20.0,576.47,0,Sad,2024-10-17
ava4@hotmail.com,Female,22,gym,42.0,480.0,0,Tired,2024-02-08
daniel2@yahoo.com,Male,60,gym,53.0,841.99,0,Neutral,2024-05-04
daniel3@icloud.com,Male,63,cycling,41.0,634.37,0,Tired,2024-09-16
james1@hotmail.com,Male,20,walking,57.0,705.45,10438,Tired,2024-03-24
john4@hotmail.com,Male,31,swimming,46.0,616.89,0,Sad,2024-07-20
michael3@outlook.com,Male,44,walking,37.0,676.08,5442,Energetic,2024-11-28
sophia3@gmail.com,Female,39,cycling,23.0,871.86,0,Tired,2024-11-17
